log_id,log_time,user_id,action,duration_seconds,source
1,2025-10-01 09:15:22,101,login,5,web
2,2025-10-01 09:16:01,101,view_dashboard,25,web
3,2025-10-01 09:17:30,102,login,8,mobile
4,2025-10-01 09:18:15,103,view_page,12,web
5,2025-10-01 09:20:05,102,view_profile,18,mobile
6,2025-10-01 09:21:40,101,create_post,120,web
7,2025-10-01 09:22:11,103,logout,3,web
8,2025-10-02 11:30:00,103,login,7,web
9,2025-10-02 11:31:10,103,view_page,22,web
10,2025-10-02 11:32:05,101,login,6,mobile
11,2025-10-02 11:33:01,102,view_profile,30,mobile
12,2025-10-02 11:33:50,101,view_dashboard,45,mobile
13,2025-10-03 14:05:10,102,login,9,web
14,2025-10-03 14:06:15,102,create_post,150,web
15,2025-10-03 14:07:30,101,login,4,web
16,2025-10-03 14:08:00,103,view_page,15,web
17,2025-10-03 14:09:22,101,view_dashboard,35,web
18,2025-10-03 14:10:01,102,logout,5,web
19,2025-10-04 18:10:00,101,login,10,mobile
20,2025-10-04 18:11:12,101,view_dashboard,60,mobile
21,2025-10-04 18:12:30,103,login,8,mobile
22,2025-10-04 18:13:05,103,view_profile,28,mobile
23,2025-10-05 08:30:15,102,login,6,web
24,2025-10-05 08:31:00,102,view_profile,20,web
25,2025-10-05 08:32:15,101,login,7,web
26,2025-10-05 08:33:00,101,view_dashboard,40,web
27,2025-10-06 10:00:00,103,login,11,web
28,2025-10-06 10:01:20,103,view_page,18,web
29,2025-10-06 10:02:00,102,login,5,mobile
30,2025-10-06 10:03:15,101,login,8,mobile
31,2025-10-06 10:04:00,102,create_post,180,mobile
32,2025-10-06 10:05:00,101,view_dashboard,55,mobile
33,2025-10-06 10:06:30,103,logout,4,web
34,2025-10-07 13:20:00,101,login,6,web
35,2025-10-07 13:21:00,101,create_post,240,web
36,2025-10-07 13:22:00,102,login,7,web
37,2025-10-07 13:23:00,102,view_profile,25,web
38,2025-10-07 13:24:00,101,logout,5,web
